,ru,en
Player_message_place_023_0,"Ох, боже",Oh god
Player_message_place_023_1,Где я?,Where I am?
Player_message_place_023_2,Что за место?,What place?
Player_message_place_023_3,Бля сваливаем!,Shit we dump!
Ghost_help_0,"Иди сюда, не бойся",Come here don't be afraid
Ghost_help_1,Вы хотите сбежать из этого здания?,Do you want to escape from this building?
Ghost_help_2,"Вам придется искать все ключи, чтобы открыть комнату.",You will have to look for all the keys to open the room.
Ghost_help_3,Найти здесь 2 ключ,Find 2 keys here
Ghost_help_4,"Будьте осторожны, призраки повсюду","Be careful, ghosts are everywhere."
Ghost_help_5,Прощай мой друг,Goodbye my friend
Main_Menu_0,[center]Вы точно выбрали язык?[/center],[center]Have you chosen a language exactly?[/center]
Settings_G_0,Настройки,Settings
Sounds_G_0,Призрак,Ghost
Pause_G_0,Пауза,Pause
Door_keys,Ключи от двери,Door keys
No_keys,Нет ключей номера комнаты,No room number keys
Game_over,Игра окончена,Game Over
Ready_game,Играть снова?,Play Again?
Exit_game,Выход из игры,Exit Game
Final_game,финальная игра,The Final Game
Exit_game_S,Хотите выйти из игры?,Want to quit the game?